Company,"ACPI ID","Approved On Date"
"Aava Mobile Oy",AAVA,2014-04-02
AMD,AMDI,2014-08-06
"Applied Micro Circuits Corporation",APMC,2013-11-14
"Aptina Imaging Corporation",APTA,2013-10-28
"ARM Ltd.",ARMH,2012-08-13
"ARM Ltd.",ARML,2015-02-24
ASUS,ASUS,2012-09-13
Atmel,ATML,2011-11-17
AuthenTec,AUTH,2012-06-01
"Broadcom Corporation",BRCM,2015-05-14
"Capella Microsystems Inc.",CPLM,2012-05-09
"Dell, Inc.",DLLK,2012-04-17
"Dell, Inc.",DELL,2012-07-26
"ELAN MICROELECTRONICS CORPORATION",ELAN,2014-11-14
"Everest Semiconductor Co., Ltd.",ESSX,2014-11-17
"FocalTech Systems Co., Ltd.",FTSC,2013-07-23
"Freescale, Inc",FRSC,2010-01-01
"Fuzhou Rockchip Electronics Co., Ltd.",RKCP,2015-07-20
"Google, Inc.",GOOG,2013-12-05
"Hewlett-Packard Company",HPQC,2012-11-26
"Hewlett Packard Enterprise",HWPE,2015-01-15
"Himax Technologies, Inc.",HIMX,2014-03-19
"HiSilicon Technologies Co., Ltd.",HISI,2014-11-14
"HP Inc.",HPIC,2015-01-15
"HTBLuVA Mödling",HTLM,2014-02-18
IBM,IBMX,2012-11-15
Impinj,IMPJ,2012-08-14
"Inphi Corporation",IPHI,2014-07-15
"Intel Corporation",ACPI,2011-11-18
"Intel Corporation",INTC,2010-01-01
"Intel Corporation",INTL,2010-01-01
"Invensense, Inc",INVN,2012-02-09
"IP3 Technology Ltd.",IP3T,2013-11-11
"Kionix, Inc.",KIOX,2013-12-23
"Lenovo Beijing Co. Ltd.",IDEA,2012-05-22
"Linaro, Ltd.",LNRO,2013-11-26
"Microsoft Corporation",MSAY,2012-03-01
"Microsoft Corporation",MSFT,2010-01-01
"Microsoft Corporation",MSHW,2011-01-10
"MIPI Alliance",MIPI,2015-04-17
"Nuvoton Technology Corporation",NVTN,2014-11-14
Nvidia,NVDA,2010-01-01
"OmniVision Technologies, Inc.",OVTI,2014-02-26
"Pegatron Corporation",PEGA,2013-08-27
"Qualcomm Inc",QCOM,2010-01-01
"REALTEK Semiconductor Corp.",OBDA,2013-11-07
"Red Hat, Inc.",QEMU,2015-07-30
"Robert Bosch GmbH",BOSC,2014-05-16
"Rozsnyó, s.r.o.",RZSN,2014-03-24
"Sharp Corporation",SHRP,2015-01-27
"Shenzhen DSO Microelectronics Co.,Ltd.",DSUO,2013-10-10
"Shenzhen South-Top Computer Co., Ltd.",ST86,2013-12-06
"Shenzhen three Connaught Information Technology Co., Ltd. (3nod Group)",3NOD,2013-09-23
"Sierra Wireless",SWEM,2013-01-22
"Sony Corporation",SONY,2012-09-12
"Synaptics Inc",SYNA,2011-11-17
"Teracue AG",TCAG,2012-12-07
"Texas Instruments",TXNW,2010-01-01
"The Linux Foundation",LNUX,2014-04-04
"Dynabook Inc.",TOSB,2015-07-07
"VAIO Corporation",VAIO,2014-04-18
"Validity Sensors, Inc",VFSI,2013-06-17
Wacom,WCOM,2011-11-17
"Winsider Seminars & Solutions Inc.",WSDR,2015-07-07
"Maxim Integrated",MXIM,2015-10-16
